"","Sample_ID","Actinomycetaceae","Bacillales_Incertae_Sedis_XI","Bacteroidaceae","Bifidobacteriaceae","Clostridiales_Incertae_Sedis_XI","Clostridiales_Incertae_Sedis_XII","Clostridiales_Incertae_Sedis_XIII","Desulfovibrionaceae","Enterobacteriaceae","Erysipelotrichaceae","Lachnospiraceae","Peptoniphilaceae","Peptostreptococcaceae","Porphyromonadaceae","Prevotellaceae","Rikenellaceae","Ruminococcaceae","Streptococcaceae","Veillonellaceae","Verrucomicrobiaceae","NA","Acidaminococcaceae","Carnobacteriaceae","Christensenellaceae","Coriobacteriaceae","Enterococcaceae","Sutterellaceae","Catabacteriaceae","Micrococcaceae","Leuconostocaceae","Pasteurellaceae","Aerococcaceae","Fusobacteriaceae","Lactobacillaceae","Staphylococcaceae","Aeromonadaceae","Neisseriaceae","Marinilabiliaceae","Eubacteriaceae","Bacillaceae_1","Clostridiaceae_1","Xanthomonadaceae"
"1","1_4",4,2,3645,34,7,8,129,150,221,79,5603,4,3,423,6,225,3996,24,2,3,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","10_1",41,0,7642,0,3,3,200,0,406,94,3928,0,0,598,11,971,4356,116,2,0,503,436,2,9,17,154,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","10_2",13,0,7464,0,2,0,147,0,3254,259,3439,0,0,993,18,1283,3223,531,0,0,341,352,3,6,5,54,221,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","10_4",11,0,7876,5,2,0,203,0,1236,98,5649,0,0,718,5,1969,4876,1683,255,0,394,460,0,4,15,116,91,65,7,3,19,0,0,0,0,0,0,0,0,0,0,0
"5","100_4",9,0,9859,6,2,15,42,16,11,24,5143,0,6,3289,5,188,4865,933,13,0,239,0,0,2,0,0,2473,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0
"6","11_1",0,0,4273,19,0,0,22,164,3,249,4042,0,0,726,6139,546,2652,97,756,2,824,8,0,3,2,3,35,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0
"7","11_2",2,0,6461,32,0,0,24,294,20,414,5062,0,0,630,6519,693,4269,320,1183,5,1201,2,3,8,4,0,39,2,0,0,74,0,0,0,0,0,0,0,0,0,0,0
"8","11_4",0,0,2528,7,0,0,14,215,41,453,4213,0,0,292,6315,175,3274,56,580,0,449,26,2,3,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"9","121_4",0,0,12019,0,0,23,18,164,133,53,4751,0,0,2278,0,2085,3276,48,21,0,364,728,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"10","126_1",15,2,6690,19,45,0,44,507,2067,801,3037,15,135,1386,983,1137,996,1506,6,0,367,139,5,0,3,0,2,5,4,0,2,3,21,9,0,0,0,0,0,0,0,0
"11","126_4",30,19,4723,0,0,0,13,297,3438,214,2436,0,0,1529,8732,1109,2293,1372,409,0,96,8,11,0,0,0,8,0,6,0,878,0,0,0,0,0,0,0,0,0,0,0
"12","127_2",0,0,1956,82,0,0,0,20,12,301,4558,0,0,466,8083,932,1880,230,1217,0,96,61,0,0,2,0,2,0,0,0,112,0,0,5,0,0,0,0,0,0,0,0
"13","127_4",5,4,3703,304,0,0,6,371,27,990,3111,0,5,840,4498,1516,2643,381,1246,0,200,29,5,0,4,0,0,0,8,0,119,0,0,0,0,0,0,0,0,0,0,0
"14","13_1",0,0,6223,13,0,6,23,85,1776,671,2441,0,0,527,6766,546,3329,455,16,0,1362,315,0,0,6,11,39,2,3,0,12,0,0,143,0,0,0,0,0,0,0,0
"15","13_2",0,0,5808,12,2,11,44,50,3118,644,2218,0,0,1564,1293,1072,4953,951,0,0,1189,99,0,0,15,34,14,4,7,0,0,0,0,219,0,0,0,0,0,0,0,0
"16","131_2",2,0,7966,9,0,18,114,4,2227,27,3610,0,2,1434,0,956,1407,27,7,0,125,669,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","131_4",11,0,13257,7,0,7,869,0,1565,46,18551,0,11,1240,3,1039,1979,37,2,0,198,458,7,0,3,5,0,0,4,0,0,2,0,2,2,0,0,0,0,0,0,0
"18","133_4",2,0,1436,5,0,5,21,170,0,36,3606,0,0,1709,8436,333,3276,71,10,0,629,651,0,0,4,0,7,3,3,0,27,0,0,0,0,0,0,0,0,0,0,0
"19","153_1",9,5,2042,13,0,0,35,22,4073,122,2087,0,0,734,2679,1893,2759,2227,1055,9,260,4,9,0,4,21,35,3,6,0,43,0,0,164,3,0,0,0,0,0,0,0
"20","153_2",14,0,5252,0,0,0,28,95,4480,186,1052,0,0,1985,11219,4688,4900,622,895,2,508,215,0,0,0,194,123,15,18,0,0,0,0,2,0,0,0,0,0,0,0,0
"21","155_4",0,10,5782,0,0,0,11,44,2826,2025,5212,0,0,745,3007,942,2292,2303,53,0,511,479,7,0,4,6,0,0,5,0,1079,0,0,0,0,47,6,0,0,0,0,0
"22","164_1",0,0,4065,0,0,0,32,117,51,120,1209,0,0,2038,516,3898,5903,120,0,0,923,123,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","22_1",5,0,15537,13,0,0,11,204,293,14,4271,0,3,4755,0,1211,6253,48,10,0,235,537,0,0,11,0,70,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0
"24","22_2",4,0,9860,8,0,0,8,128,16,7,4756,0,7,1866,2,342,5637,100,2,0,214,252,0,0,2,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"25","22_4",7,0,13030,17,0,0,0,204,9,2,9388,0,6,3193,7,677,11655,208,48,0,378,47,7,0,5,0,43,0,15,0,164,0,0,0,0,0,0,0,0,0,0,0
"26","26_2",4,3,5283,24,0,3,0,115,88,26,7374,0,7,1261,0,135,2296,171,2,0,68,292,3,0,0,0,571,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"27","26_4",4,0,11253,0,0,5,5,244,16,14,2573,0,5,1740,2,1204,3835,145,16,0,283,400,2,0,0,0,714,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0
"28","28_4",5,0,4146,10,0,21,146,52,5378,1151,4011,0,0,1896,295,1391,3299,356,985,0,331,891,6,4,8,40,27,5,8,0,16,0,0,2,2,0,0,238,0,0,0,0
"29","29_2",9,0,6871,5,2,0,48,543,181,50,5996,0,0,2051,5,3007,6249,47,489,0,4657,475,2,2,2,0,49,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0
"30","29_4",2,0,3577,3,0,0,6,361,937,81,1675,0,2,1454,4,3210,3245,13,225,0,1443,137,0,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","3_4",2,2,5416,3,0,0,30,427,4447,6,5407,0,0,1185,0,1217,3237,1301,87,0,440,129,0,0,9,70,72,0,6,0,164,0,0,0,0,0,0,0,0,0,0,0
"32","30_1",6,7,2812,0,2,26,30,240,6680,269,2007,10,3,930,3061,422,2097,1342,551,0,1378,107,13,0,2,0,0,2,6,0,29,0,0,0,0,0,0,0,0,0,0,0
"33","30_2",3,0,2343,0,0,26,17,249,1428,340,2085,0,0,947,1822,1767,1899,232,872,0,2086,117,0,0,4,0,0,2,3,0,31,0,0,0,0,0,0,0,0,0,0,0
"34","32_4",0,0,4692,8,0,0,36,196,49,282,3109,0,0,2336,1804,2109,7043,71,0,0,367,1198,0,0,2,0,114,4,5,0,8,0,0,0,0,0,0,0,0,0,0,0
"35","34_1",7,0,7605,3,0,0,42,0,953,148,4756,0,5,1720,10,1177,2783,258,4,23,31,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0
"36","34_2",4,0,5320,0,0,0,63,0,481,359,6589,0,4,1639,0,1076,4752,54,4,32,81,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
